City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,holualoa,19.6228,-155.9522,27.15,84,40,6.17,US,1721855720
1,inhambane,-23.865,35.3833,19.54,86,1,3.65,MZ,1721855720
2,sitka,57.0531,-135.33,15.94,77,75,0.0,US,1721855720
3,la sarre,48.8002,-79.1996,13.07,98,100,5.2,CA,1721855721
4,port-aux-francais,-49.35,70.2167,2.87,80,23,10.96,TF,1721855721
5,punta arenas,-53.15,-70.9167,3.06,81,75,4.12,CL,1721855721
6,rockport,28.0206,-97.0544,31.01,85,0,4.63,US,1721855721
7,grytviken,-54.2811,-36.5092,-3.23,93,100,2.36,GS,1721855722
8,olonkinbyen,70.9221,-8.7187,4.81,98,100,7.49,SJ,1721855722
9,college,64.8569,-147.8028,27.82,47,40,0.0,US,1721855722
10,hazorasp,41.3194,61.0742,26.91,23,0,4.64,UZ,1721855722
11,palmer,42.1584,-72.3287,25.14,73,100,0.45,US,1721855723
12,port elizabeth,-33.918,25.5701,13.39,96,75,1.54,ZA,1721855723
13,albany,42.6001,-73.9662,27.01,76,99,0.45,US,1721855723
14,kaltan,53.5347,87.2457,17.47,91,100,0.54,RU,1721855723
15,saint-philippe,-21.3585,55.7679,19.77,79,38,4.01,RE,1721855723
16,cururupu,-1.8283,-44.8683,25.9,77,25,1.45,BR,1721855724
17,qashyr,53.0675,76.1036,17.61,89,90,5.22,KZ,1721855724
18,sao jose da coroa grande,-8.8978,-35.1478,24.01,77,100,4.2,BR,1721855724
19,longyearbyen,78.2186,15.6401,8.91,87,75,3.6,SJ,1721855725
20,cotronei,39.1582,16.7809,23.9,61,4,2.73,IT,1721855725
21,khandyga,62.6667,135.6,17.38,65,100,0.53,RU,1721855152
22,toliara,-23.35,43.6667,19.71,78,0,1.89,MG,1721855725
23,iskateley,67.6803,53.1512,11.28,73,90,3.73,RU,1721855725
24,south hedland,-20.4089,118.5983,18.96,42,0,5.14,AU,1721855726
25,lazaro cardenas,17.9583,-102.2,28.99,71,100,3.2,MX,1721855726
26,tiksi,71.6872,128.8694,4.63,82,76,5.1,RU,1721855726
27,georgetown,5.4112,100.3354,27.96,74,20,0.0,MY,1721855726
28,bredasdorp,-34.5322,20.0403,10.65,85,90,1.18,ZA,1721855726
29,port augusta,-32.5,137.7667,9.34,93,97,1.57,AU,1721855727
30,haiku-pauwela,20.9219,-156.3051,29.57,68,40,11.32,US,1721855235
31,yellowknife,62.456,-114.3525,15.29,67,100,4.63,CA,1721855727
32,stanley,54.868,-1.6985,16.27,82,75,2.57,GB,1721855727
33,blackmans bay,-43.0167,147.3167,13.18,65,100,0.89,AU,1721855728
34,okayama,34.6617,133.935,26.8,86,93,0.7,JP,1721855728
35,jamestown,42.097,-79.2353,24.45,86,0,2.57,US,1721855728
36,bethel,41.3712,-73.414,26.47,80,40,4.12,US,1721855729
37,ribeira grande,38.5167,-28.7,24.32,79,3,0.89,PT,1721855729
38,wailua homesteads,22.0669,-159.378,27.44,79,20,6.17,US,1721855729
39,ust'-ilimsk,58.0006,102.6619,17.72,99,100,2.32,RU,1721855729
40,cockburn town,21.4612,-71.1419,28.41,77,3,8.19,TC,1721855730
41,kalmunai,7.4167,81.8167,27.82,76,73,1.88,LK,1721855730
42,puerto natales,-51.7236,-72.4875,6.25,52,75,5.66,CL,1721855730
43,lichinga,-13.3128,35.2406,16.05,39,0,1.03,MZ,1721855730
44,mejit,10.2753,170.8646,28.59,77,73,6.42,MH,1721855730
45,cabo san lucas,22.8909,-109.9124,32.61,65,0,4.12,MX,1721855406
