City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,enkoping,59.6361,17.0777,23.02,59,48,3.35,SE,1722362940
1,badger,64.8,-147.5333,13.33,79,75,2.57,US,1722362836
2,hawaiian paradise park,19.5933,-154.9731,22.72,97,100,2.57,US,1722362792
3,adamstown,-25.066,-130.1015,22.01,83,77,8.42,PN,1722362767
4,kapuskasing,49.4169,-82.4331,27.52,59,95,0.15,CA,1722362941
5,codrington,-38.2667,141.9667,5.1,92,17,3.25,AU,1722362941
6,minas de marcona,-15.2119,-75.1103,18.56,47,0,4.34,PE,1722362786
7,jindabyne,-36.4167,148.6333,-0.79,93,14,1.87,AU,1722362941
8,brainerd,46.358,-94.2008,28.33,64,0,3.09,US,1722362942
9,port-aux-francais,-49.35,70.2167,2.98,94,99,12.9,TF,1722362768
10,east london,-33.0153,27.9116,14.81,55,45,8.42,ZA,1722362886
11,puerto natales,-51.7236,-72.4875,4.25,93,100,1.03,CL,1722362942
12,invercargill,-46.4,168.35,3.34,78,15,2.24,NZ,1722362943
13,college,64.8569,-147.8028,13.38,84,75,2.57,US,1722362943
14,juegang,32.3174,121.1855,26.66,87,0,5.12,CN,1722362943
15,olonkinbyen,70.9221,-8.7187,5.56,99,100,3.82,SJ,1722362776
16,lihue,21.9789,-159.3672,25.77,76,100,6.69,US,1722362777
17,lebu,-37.6167,-73.65,13.8,47,100,5.49,CL,1722362944
18,dudinka,69.4058,86.1778,17.98,51,71,4.74,RU,1722362795
19,kodiak,57.79,-152.4072,14.73,58,0,6.69,US,1722362860
20,sola,-13.8833,167.55,26.01,71,59,7.35,VU,1722362945
21,edinburgh of the seven seas,-37.0676,-12.3116,14.7,90,60,14.29,SH,1722362945
22,okhotsk,59.3833,143.3,11.16,82,100,2.55,RU,1722362945
23,filadelfia,39.9523,-75.1638,30.87,70,75,6.69,US,1722362945
24,laojunmiao,39.8333,97.7333,25.11,21,36,5.25,CN,1722362945
25,petropavlovsk-kamchatsky,53.0452,158.6483,10.33,100,100,1.0,RU,1722362774
26,vrangel',42.7297,133.0839,17.49,91,92,2.23,RU,1722362946
27,nova sintra,14.8667,-24.7167,25.01,76,88,5.99,CV,1722362839
28,slivnitsa,42.85,23.0333,23.62,33,2,2.25,BG,1722362946
29,wailua homesteads,22.0669,-159.378,25.44,83,100,6.69,US,1722362786
30,ribeira grande,38.5167,-28.7,26.54,69,40,8.23,PT,1722362947
31,grytviken,-54.2811,-36.5092,-3.19,65,23,3.29,GS,1722362947
32,papatowai,-46.5619,169.4708,4.57,68,86,5.25,NZ,1722362947
33,avarua,-21.2078,-159.775,19.03,52,40,3.09,CK,1722362947
34,manturovo,58.3353,44.7619,15.38,81,98,1.9,RU,1722362947
35,albany,42.6001,-73.9662,31.56,67,83,2.24,US,1722362744
36,gladstone,-23.85,151.25,13.21,66,38,2.57,AU,1722362948
37,bethel,41.3712,-73.414,30.48,68,40,4.12,US,1722362948
38,revda,56.801,59.9303,12.97,96,94,1.57,RU,1722362948
39,iqaluit,63.7506,-68.5145,7.62,59,87,2.83,CA,1722362948
40,valasske klobouky,49.1406,18.0076,22.03,66,4,1.53,CZ,1722362949
41,ilulissat,69.2167,-51.1,2.22,91,100,2.38,GL,1722362949
42,vadso,70.0744,29.7487,14.09,54,0,7.72,NO,1722362949
43,puerto palomas,31.7667,-107.6167,33.04,29,7,3.73,MX,1722362949
44,trinidad,-14.8333,-64.9,30.16,31,38,1.83,BO,1722362950
45,port mathurin,-19.6833,63.4167,22.41,71,16,7.63,MU,1722362831
46,les avirons,-21.2418,55.3394,17.43,59,0,3.09,RE,1722362950
47,castillos,-34.1667,-53.8333,11.88,52,62,3.12,UY,1722362950
48,haiku-pauwela,20.9219,-156.3051,23.45,93,75,3.13,US,1722362950
49,margaret river,-33.95,115.0667,14.76,85,24,5.28,AU,1722362813
50,mil'kovo,55.6078,37.7956,19.08,68,89,3.51,RU,1722362951
51,blackmans bay,-43.0167,147.3167,3.07,93,8,1.89,AU,1722362951
52,gadzhiyevo,69.2551,33.3362,10.44,84,100,7.42,RU,1722362951
53,abepura,-2.6333,140.5833,23.45,100,40,0.51,ID,1722362951
54,nabire,-3.3667,135.4833,24.67,93,93,0.98,ID,1722362952
55,ust'-kut,56.7938,105.7672,14.55,84,19,1.61,RU,1722362952
56,waitangi,-43.9535,-176.5597,7.68,98,100,2.68,NZ,1722362952
57,al ghayzah,16.2079,52.176,24.9,92,100,8.23,YE,1722362952
58,yellowknife,62.456,-114.3525,18.56,80,98,2.24,CA,1722362952
59,floro,61.5996,5.0328,14.98,67,75,7.2,NO,1722362953
60,weno,7.4515,151.8468,27.97,89,75,2.57,FM,1722362953
61,praia da vitoria,38.7333,-27.0667,27.09,78,68,4.4,PT,1722362953
62,vorgashor,67.5833,63.95,16.0,97,100,2.51,RU,1722362953
63,fort bragg,35.139,-79.006,31.91,67,75,4.12,US,1722362954
64,georgetown,5.4112,100.3354,28.96,84,20,0.51,MY,1722362954
65,turaif,31.6725,38.6637,32.14,23,0,3.09,SA,1722362954
66,hadibu,12.65,54.0333,26.14,81,87,8.11,YE,1722362954
67,stanley,54.868,-1.6985,21.77,54,0,4.63,GB,1722362955
68,punta arenas,-53.15,-70.9167,3.06,75,0,4.63,CL,1722362946
69,general ramirez,-32.176,-60.2008,14.37,44,62,5.46,AR,1722362955
70,hamilton,39.1834,-84.5333,30.92,67,40,5.66,US,1722362821
71,vilyuchinsk,52.9306,158.4028,11.15,96,100,0.44,RU,1722362955
72,ambon,-3.6954,128.1814,27.15,95,40,2.06,ID,1722362956
73,longyearbyen,78.2186,15.6401,9.91,81,75,3.09,SJ,1722362779
74,pindi gheb,33.2402,72.2661,32.6,58,91,2.38,PK,1722362956
75,bilibino,68.0546,166.4372,5.48,88,100,1.12,RU,1722362956
76,thompson,55.7435,-97.8558,30.23,30,49,3.5,CA,1722362957
77,dunedin,-45.8742,170.5036,3.22,79,98,5.02,NZ,1722362957
78,shindand,33.3029,62.1474,32.33,19,0,4.38,AF,1722362957
79,qaqortoq,60.7167,-46.0333,10.4,44,0,14.95,GL,1722362957
80,brookings,44.3114,-96.7984,29.58,55,0,2.57,US,1722362957
81,sigli,5.3848,95.9609,26.31,83,100,2.5,ID,1722362958
82,prieska,-29.6641,22.7474,9.51,31,0,3.17,ZA,1722362958
83,irara,-12.05,-38.7667,25.21,71,67,5.5,BR,1722362958
84,tokar,18.4254,37.729,36.87,33,89,4.64,SD,1722362958
85,noumea,-22.2763,166.4572,21.67,99,100,2.83,NC,1722362909
86,santa elena de uairen,4.6167,-61.1333,25.05,61,78,4.91,VE,1722362959
87,rio gallegos,-51.6226,-69.2181,3.03,74,100,4.5,AR,1722362959
88,utrik,11.2278,169.8474,27.61,81,50,5.58,MH,1722362959
89,kerikeri,-35.2268,173.9474,10.03,95,55,1.3,NZ,1722362959
90,kapa'a,22.0752,-159.319,26.18,81,100,6.69,US,1722362960
91,egilsstadir,65.2653,-14.3948,11.95,87,75,6.17,IS,1722362960
92,misratah,32.3754,15.0925,28.43,69,0,6.46,LY,1722362960
93,abalak,58.1286,68.5944,12.62,96,20,1.93,RU,1722362960
94,ceeldheer,3.8488,47.1806,24.34,83,86,7.39,SO,1722362961
95,atafu village,-8.5421,-172.5159,27.85,76,100,10.91,TK,1722362961
96,shenjiamen,29.9576,122.298,26.95,92,37,8.78,CN,1722362961
97,cabo san lucas,22.8909,-109.9124,35.34,47,0,5.14,MX,1722362543
98,kavieng,-2.5744,150.7967,27.66,80,18,7.93,PG,1722362961
99,san borja,-14.8167,-66.85,29.7,34,29,2.12,BO,1722362962
100,kamyaran,34.7956,46.9355,27.34,20,0,2.74,IR,1722362962
101,sehore,23.2,77.0833,24.81,93,90,2.46,IN,1722362962
102,west island,-12.1568,96.8225,26.99,65,20,4.12,CC,1722362772
103,meulaboh,4.1363,96.1285,25.25,91,100,1.44,ID,1722362962
104,tucurui,-3.7661,-49.6725,35.3,27,9,2.67,BR,1722362963
105,jamestown,42.097,-79.2353,26.8,69,75,6.69,US,1722362963
106,shakhtersk,48.0625,38.5167,20.27,48,48,3.44,UA,1722362778
107,hermanus,-34.4187,19.2345,9.33,64,9,1.75,ZA,1722362963
108,askoy,60.4092,5.226,15.53,94,75,2.06,NO,1722362963
109,miquelon,47.0975,-56.3814,20.0,98,92,4.36,PM,1722362964
110,bereeda,11.8704,51.0579,31.37,59,100,3.56,SO,1722362964
111,arraial do cabo,-22.9661,-42.0278,21.92,73,75,2.57,BR,1722362964
112,murzuq,25.9155,13.9184,32.79,16,0,5.4,LY,1722362964
113,mili,6.0815,171.735,27.74,79,99,4.35,MH,1722362965
114,kruisfontein,-34.0033,24.7314,12.16,61,54,6.75,ZA,1722362965
115,nemuro,43.3236,145.575,14.63,95,61,5.95,JP,1722362965
116,keflavik,64.0049,-22.5624,11.24,76,75,6.17,IS,1722362965
117,concepcion,-36.827,-73.0498,11.89,71,0,3.6,CL,1722362930
118,forster,-32.1667,152.5167,9.6,92,99,6.28,AU,1722362966
119,enoch,37.7733,-113.0244,29.52,14,0,4.63,US,1722362966
120,hundested,55.9667,11.8667,21.77,55,0,1.15,DK,1722362966
121,mata-utu,-13.2816,-176.1745,25.85,72,100,10.7,WF,1722362966
122,machico,32.7,-16.7667,26.11,79,40,6.17,PT,1722362966
123,motul,21.1,-89.2833,33.88,33,100,3.38,MX,1722362967
124,dexter,36.7959,-89.9579,33.88,59,0,5.07,US,1722362967
125,whitehorse,60.7161,-135.0538,16.43,56,75,6.17,CA,1722362753
126,puerto ayora,-0.7393,-90.3518,24.98,92,98,3.13,EC,1722362968
127,pangai,-19.8,-174.35,22.89,62,32,9.6,TO,1722362968
128,dryden,49.7833,-92.7503,28.84,37,0,2.88,CA,1722362968
129,hotan,37.0997,79.9269,33.77,13,100,2.33,CN,1722362969
130,susuman,62.7833,148.1667,9.36,83,100,5.44,RU,1722362813
131,plettenberg bay,-34.0527,23.3716,10.21,68,34,3.75,ZA,1722362969
132,ciudad lazaro cardenas,17.9583,-102.2,26.64,88,100,4.17,MX,1722362969
133,veraval,20.9,70.3667,27.78,88,65,6.48,IN,1722362969
134,saint-joseph,-21.3667,55.6167,18.59,72,5,2.09,RE,1722362970
135,rajpur,22.3,74.35,25.39,88,75,4.78,IN,1722362970
136,north bend,43.4065,-124.2243,20.69,82,100,1.54,US,1722362970
137,selfoss,63.9331,-20.9971,11.16,77,99,4.29,IS,1722362971
138,tura,25.5198,90.2201,25.28,92,82,2.98,IN,1722362971
139,tindouf,27.6711,-8.1474,44.7,7,11,0.73,DZ,1722362971
140,ushuaia,-54.8,-68.3,2.79,75,29,0.86,AR,1722362971
141,brzeg dolny,51.273,16.7082,26.0,46,8,2.53,PL,1722362972
142,san luis,-33.295,-66.3356,16.74,27,99,5.39,AR,1722362972
143,ondjiva,-17.0667,15.7333,19.81,12,3,2.41,AO,1722362972
144,st. john's,47.5649,-52.7093,28.97,68,74,2.68,CA,1722362863
145,krasnyy kholm,58.0607,37.1203,14.5,90,87,2.84,RU,1722362972
146,neryungri,56.6709,124.6491,12.3,96,100,2.95,RU,1722362973
147,bredasdorp,-34.5322,20.0403,7.91,72,20,1.26,ZA,1722362775
148,qamdo,31.1667,97.2333,5.78,67,24,1.81,CN,1722362973
149,pitangueiras,-21.0094,-48.2217,25.29,30,53,3.7,BR,1722362973
150,aykhal,66.0,111.5,6.73,77,15,2.24,RU,1722362973
151,coyhaique,-45.5752,-72.0662,6.34,97,100,2.17,CL,1722362974
152,alofi,-19.0595,-169.9187,20.94,68,100,5.14,NU,1722362974
153,laela,-8.5667,32.05,18.56,22,1,2.51,TZ,1722362974
154,kingston,17.997,-76.7936,32.53,66,20,9.77,JM,1722362891
155,carnarvon,-24.8667,113.6333,18.56,84,0,5.0,AU,1722362782
156,kirensk,57.7853,108.1119,12.74,90,4,2.41,RU,1722362975
157,chibougamau,49.9168,-74.3659,29.66,34,46,2.86,CA,1722362975
158,fuglafjordur,62.244,-6.814,12.26,80,31,6.43,FO,1722362975
159,fort mcmurray,56.7268,-111.381,24.59,34,8,2.69,CA,1722362975
160,bir hadaj,31.0263,34.7031,27.93,54,0,4.0,IL,1722362975
161,nago,26.5881,127.9761,29.24,90,26,1.36,JP,1722362976
162,talnakh,69.4865,88.3972,19.31,46,13,2.04,RU,1722362976
